horse_idx,layer_idx,sawyer-right_j0,sawyer-right_j1,sawyer-right_j2,sawyer-right_j3,sawyer-right_j4,sawyer-right_j5,sawyer-right_j6
11,235,-0.4291700393120001,0.5790819599406838,-1.4179217315422739,1.4750309150024559,-2.650660559448799,1.995002700937602,-0.02387870903958981
11,236,-0.4383202228331939,0.5799789931705296,-1.4236885800659707,1.4672955387785271,-2.650558685815363,1.9946183367519128,-0.02314600639470758
11,237,-0.44745246009432577,0.5808529972921845,-1.429480256290249,1.459514309881269,-2.6504274844420452,1.9941618933285787,-0.022422250473508404
11,238,-0.45656699982368276,0.5817032817980384,-1.4352961658073968,1.4516873489079816,-2.6502676826495515,1.99363409312352,-0.021708151592912006
11,239,-0.46566375675528626,0.5825287520688786,-1.441134909125548,1.4438149073315183,-2.650080405479383,1.9930358101653398,-0.02100465339839516
11,240,-0.47474321911409495,0.583329145217614,-1.446996882424205,1.4358970699459854,-2.649866227484037,1.9923674291641493,-0.02031245682115305
11,241,-0.4838051449761871,0.5841029613479477,-1.4528797815954504,1.4279339312624766,-2.6496264948343984,1.9916300979428556,-0.01963251249978614
11,242,-0.49284995066076315,0.584850037201714,-1.4587842381782559,1.4199256636209323,-2.6493618687812455,1.9908240139290871,-0.018965656402971993
11,243,-0.5018776634372993,0.585569169371374,-1.4647085284581298,1.4118721467794098,-2.649073423531987,1.9899501794320318,-0.018312645592692703
11,244,-0.5108886064274408,0.586260034798379,-1.470652800355196,1.4037734436305678,-2.648761819068161,1.9890089292585307,-0.017674241808749613
11,245,-0.5198827402193654,0.5869214890094678,-1.476615433348972,1.395629526114677,-2.6484281517787194,1.9880012095019404,-0.017051228892028706
11,246,-0.5288599001113464,0.5875525361513116,-1.482595221376798,1.3874406165259128,-2.6480737534369174,1.9869276899264112,-0.016444682705070487
11,247,-0.5378202313069596,0.588152477244282,-1.4885915528871727,1.3792066244312662,-2.647699677353774,1.9857887955305622,-0.015855532056236837
11,248,-0.546763632578728,0.5887200990229544,-1.4946027852009462,1.3709274605031092,-2.6473072958990764,1.9845853733771859,-0.015284748832750873
11,249,-0.5556903376793026,0.5892549834721509,-1.500628756530237,1.362602971505611,-2.6468974719783285,1.9833176392413119,-0.014733195731607886
